DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
12-Dec-2025,EQ,"1,024.00","1,042.00","1,024.00","1,018.80","1,038.20","1,040.20","1,036.86","1,252.30","758.00",2615096,"2,71,14,76,815.90",38101
11-Dec-2025,EQ,"995.00","1,026.40","975.00","989.80","1,024.00","1,018.80","999.34","1,252.30","758.00",5927384,"5,92,34,68,451.30",59758
10-Dec-2025,EQ,"1,014.90","1,027.80","981.00","998.90","987.50","989.80","1,006.69","1,252.30","758.00",3913329,"3,93,94,99,544.50",118798
09-Dec-2025,EQ,"993.90","1,010.50","980.60","993.80","1,010.50","998.90","997.26","1,252.30","758.00",2593247,"2,58,61,35,346.70",62276
08-Dec-2025,EQ,"1,016.10","1,021.00","990.00","1,017.70","994.00","993.80","1,000.81","1,252.30","758.00",1311474,"1,31,25,39,566.00",44065
05-Dec-2025,EQ,"1,013.10","1,022.50","1,005.10","1,013.40","1,018.10","1,017.70","1,013.04","1,447.70","758.00",1190798,"1,20,63,27,945.00",59608
04-Dec-2025,EQ,"1,013.80","1,027.10","1,006.80","1,012.60","1,012.10","1,013.40","1,015.90","1,447.70","758.00",1349599,"1,37,10,59,135.50",41314
03-Dec-2025,EQ,"1,024.00","1,027.30","1,004.20","1,022.60","1,018.00","1,012.60","1,014.67","1,447.70","758.00",1508973,"1,53,11,05,321.80",76711
02-Dec-2025,EQ,"1,038.60","1,040.70","1,017.70","1,039.60","1,024.20","1,022.60","1,026.64","1,447.70","758.00",1544253,"1,58,53,87,661.90",106457
01-Dec-2025,EQ,"1,041.10","1,052.00","1,028.10","1,048.20","1,042.30","1,039.60","1,040.77","1,447.70","758.00",2276452,"2,36,92,73,890.40",118769
28-Nov-2025,EQ,"1,031.20","1,052.50","1,024.60","1,031.10","1,047.60","1,048.20","1,042.76","1,447.70","758.00",1626863,"1,69,64,32,650.90",32441
27-Nov-2025,EQ,"1,040.10","1,042.00","1,018.20","1,034.40","1,033.00","1,031.10","1,028.15","1,447.70","758.00",1543218,"1,58,66,63,270.00",29963
26-Nov-2025,EQ,"1,016.00","1,036.40","1,012.50","1,011.60","1,034.00","1,034.40","1,028.80","1,447.70","758.00",1318167,"1,35,61,25,031.70",27317
25-Nov-2025,EQ,"1,010.50","1,022.90","1,000.60","1,009.40","1,012.00","1,011.60","1,010.05","1,447.70","758.00",1677553,"1,69,44,07,700.20",35425
24-Nov-2025,EQ,"1,036.90","1,037.50","1,006.00","1,030.50","1,011.40","1,009.40","1,017.38","1,447.70","758.00",1618990,"1,64,71,33,250.10",40676
21-Nov-2025,EQ,"1,060.00","1,063.10","1,026.00","1,060.00","1,031.00","1,030.50","1,042.70","1,517.75","758.00",2075493,"2,16,41,25,132.70",45347
20-Nov-2025,EQ,"1,074.00","1,085.50","1,057.00","1,069.90","1,065.00","1,060.00","1,071.06","1,517.75","758.00",1354779,"1,45,10,50,473.20",31385
19-Nov-2025,EQ,"1,080.20","1,084.50","1,052.20","1,077.60","1,069.90","1,069.90","1,067.06","1,517.75","758.00",2155114,"2,29,96,33,634.00",42692
18-Nov-2025,EQ,"1,092.00","1,097.20","1,075.00","1,088.60","1,077.20","1,077.60","1,084.64","1,517.75","758.00",1414894,"1,53,46,48,996.00",28220
17-Nov-2025,EQ,"1,074.80","1,092.50","1,065.40","1,068.80","1,088.00","1,088.60","1,081.54","1,517.75","758.00",2888868,"3,12,44,27,729.30",44977
14-Nov-2025,EQ,"1,082.90","1,104.90","1,060.00","1,076.80","1,067.10","1,068.80","1,081.79","1,599.55","758.00",3567619,"3,85,94,02,226.10",64150
13-Nov-2025,EQ,"1,080.00","1,088.00","1,063.30","1,070.80","1,076.50","1,076.80","1,079.25","1,599.55","758.00",1991752,"2,14,96,03,007.90",41315